"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-05-10"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,,,,,,,,,,,,,,,,
"Industry","All industries",,,,"Manufacturing",,,,"Wholesale and retail trade 5",,,,"Transportation 6",,,,"Entertainment and hospitality 7",,,
"June 2017","53","6,559","17.9","44,030","11","855","15.8","15,360","1","13","22.0","290","..","..","..","..","3","414","17.0","3,060"
"July 2017","47","5,734","18.1","37,700","8","915","17.5","14,970","1","13","21.0","270","2","730","4.5","2,580","3","412","19.7","3,800"
"August 2017","41","5,335","20.0","47,200","7","904","18.4","14,980","2","45","18.5","700","2","730","22.0","16,060","3","404","8.7","1,530"
"September 2017","38","7,770","18.4","56,130","6","2,872","19.8","35,140","2","23","15.0","360","2","730","21.0","15,330","..","..","..",".."
"October 2017","57","28,862","14.1","207,470","6","2,872","21.2","35,940","2","23","22.0","510","4","784","8.8","7,660","..","..","..",".."
"November 2017","44","16,657","19.0","172,890","5","433","23.0","11,280","7","109","19.1","1,940","..","..","..","..","..","..","..",".."
"December 2017","41","4,375","18.0","4,290","5","433","14.8","2,170","6","85","20.0","1,700","..","..","..","..","..","..","..",".."
"January 2018","46","5,747","16.8","20,420","4","1,116","22.0","17,020","8","139","16.0","1,840","2","381","2.0","760","..","..","..",".."
"February 2018","45","5,778","17.4","27,770","5","1,142","19.0","22,190","9","177","17.2","2,790","2","381","10.5","1,350","..","..","..",".."
"March 2018","51","11,696","16.7","106,850","7","1,447","13.1","24,210","5","75","21.0","1,560","3","601","8.0","1,730","..","..","..",".."
"April 2018","52","13,621","17.0","128,870","4","1,374","17.8","21,320","5","75","20.0","1,500","2","84","12.0","1,150","1","1,954","17.0","27,770"
"May 2018","40","15,667","15.1","169,200","5","1,634","15.8","25,520","6","295","20.2","4,140","2","3,251","11.5","4,320","5","2,622","18.0","44,570"
"June 2018","28","10,218","17.3","98,802","4","1,542","19.0","23,850","5","75","20.0","1,500","1","51","20.0","1,020","5","3,097","13.2","17,382"
"July 2018","28","9,977","17.9","104,143","5","1,662","18.6","30,070","6","3,899","16.8","5,320","2","65","13.5","1,090","4","1,525","26.3","37,818"
"August 2018","21","6,624","19.8","66,750","3","1,067","25.0","24,120","6","3,899","18.5","5,540","3","90","15.7","1,530","2","1,097","31.0","30,270"
"September 2018","21","6,995","11.1","68,410","4","1,127","21.8","22,110","6","3,899","1.3","11,530","2","65","21.0","1,040","2","1,097","29.5","28,990"
"October 2018","20","57,789","14.6","109,134","7","1,253","14.4","25,970","2","4,224","10.5","9,910","3","50,514","17.0","44,240","2","1,097","30.5","21,834"
"November 2018","24","61,011","13.0","183,333","9","3,694","11.3","27,190","4","5,264","9.8","41,258","3","50,514","24.0","99,310","2","1,097","12.5","10,895"
"December 2018","16","3,118","13.4","50,042","8","1,567","11.4","26,540","2","1,040","21.5","21,820","2","144","17.5","810","1","250","1.0","250"
"January 2019","17","3,157","9.8","49,608","8","1,646","4.3","23,206","2","1,040","23.0","24,520","2","144","17.0","532","..","..","..",".."
"February 2019","16","3,361","10.1","50,412","6","1,544","4.5","22,080","2","1,040","13.5","21,768","1","14","28.0","390","1","201","4.0","804"
"March 2019","16","2,873","14.0","54,933","2","1,114","11.5","21,460","1","900","27.0","24,300","1","14","31.0","440","..","..","..",".."
"April 2019","21","3,187","11.2","45,019","3","1,389","9.7","20,510","1","900","17.0","15,300","4","208","10.5","1,390","1","68","27.0","770"
"May 2019","32","7,882","9.3","124,942","3","1,389","15.3","25,185","..","..","..","..","1","14","31.0","440","2","128","11.0","1,610"
"June 2019","37","20,260","10.4","184,953","6","2,204","9.3","29,401","1","40","20.0","500","1","14","30.0","430","1","56","12.0","690"
"July 2019","41","6,104","12.5","102,299","7","1,745","14.4","21,825","2","76","7.5","560","4","58","19.5","1,245","..","..","..",".."
"August 2019","23","4,322","16.5","81,233","5","798","13.8","7,920","1","36","11.0","396","5","114","11.6","956","..","..","..",".."
"September 2019","35","9,178","11.2","112,359","7","1,093","14.3","13,941","..","..","..","..","4","167","13.0","2,273","4","1,193","5.3","8,910"
"October 2019","35","12,703","15.8","184,011","5","743","14.2","9,291","..","..","..","..","4","167","21.3","3,789","5","1,211","15.4","19,630"
"November 2019","28","8,643","28.4","120,639","7","763","9.6","12,105","..","..","..","..","5","3,750","13.2","24,224","3","247","5.0","2,440"
"December 2019","16","6,640","9.7","102,530","5","2,572","10.8","25,950","1","60","11.0","660","2","89","3.0","140","..","..","..",".."
"January 2020","20","177,400","10.1","259,700","4","998","10.3","17,770","1","60","22.0","1,320","2","752","16.0","6,270","1","15","6.0","90"
"February 2020","21","612,730","12.0","672,230","2","802","10.5","15,340","1","12","60.0","720","1","71","2.0","140","..","..","..",".."
"March 2020","12","74,873","8.8","92,490","1","765","22.0","16,830","..","..","..","..","..","..","..","..","..","..","..",".."
"April 2020","6","11,063","15.7","23,240","1","765","22.0","16,830","..","..","..","..","..","..","..","..","..","..","..",".."
"May 2020","6","11,047","12.3","21,630","1","765","21.0","16,070","..","..","..","..","..","..","..","..","..","..","..",".."
"June 2020","12","10,660","71.7","20,342","7","380","115.0","14,570","..","..","..","..","..","..","..","..","..","..","..",".."
"July 2020","19","12,396","14.7","26,616","6","783","18.3","13,064","..","..","..","..","2","1,288","3.5","6,840","..","..","..",".."
"August 2020","18","13,774","15.5","55,228","5","733","19.4","14,100","1","1,400","9.0","12,600","4","1,360","12.5","22,838","..","..","..",".."
"September 2020","16","6,598","14.6","115,980","5","583","7.6","3,200","2","2,112","17.5","44,870","1","90","17.0","1,530","1","39","10.0","390"
"October 2020","13","4,741","16.5","80,340","3","133","22.0","2,930","3","2,126","18.3","57,700","1","90","22.0","1,980","1","39","31.0","1,210"
"November 2020","16","3,523","13.8","66,490","7","460","10.6","3,410","3","2,126","19.3","47,980","1","90","21.0","1,890","2","419","10.0","5,710"
"December 2020","8","926","14.9","17,270","2","70","21.5","1,500","..","..","..","..","1","90","3.0","270","1","380","22.0","8,740"
"January 2021","6","731","18.0","11,160","2","70","20.5","1,420","1","9","17.0","150","..","..","..","..","1","380","11.0","4,180"
"February 2021","11","826","12.3","10,164","4","415","14.0","3,350","1","9","20.0","180","2","23","1.5","15","1","25","7.0","180"
"March 2021","25","10,907","10.7","31,440","8","1,137","13.9","14,264","2","18","16.5","300","1","5","23.0","120","1","25","30.0","455"
"April 2021","29","84,797","8.3","58,428","7","1,727","13.0","12,833","2","16","14.0","260","2","1,105","13.0","5,610","3","1,370","11.3","1,940"
"May 2021","44","105,300","11.6","253,899","12","4,753","14.2","70,172","1","9","12.0","110","1","5","20.0","100","10","2,141","16.0","37,193"
"June 2021","48","97,574","13.6","367,461","11","6,054","20.3","94,577","1","277","19.0","1,880","1","5","14.0","90","15","2,522","15.3","47,266"
"July 2021","39","10,948","9.1","134,068","15","7,297","12.9","92,829","..","..","..","..","..","..","..","..","13","2,415","4.4","28,856"
"August 2021","29","7,962","11.7","104,987","9","5,070","17.8","62,737","1","24","10.0","240","3","103","2.0","210","11","2,067","6.4","30,120"
"September 2021","41","8,259","9.8","73,770","7","1,807","19.0","34,620","2","180","12.5","1,260","4","210","2.8","610","15","2,354","7.7","21,320"
"October 2021","39","7,950","9.3","52,225","8","1,478","15.9","22,540","1","24","26.0","640","..","..","..","..","10","926","10.3","9,570"
"November 2021","47","11,372","9.0","82,095","8","1,193","10.9","8,440","2","44","17.5","760","2","434","3.5","1,330","5","449","17.6","8,130"
"December 2021","43","14,998","12.9","143,940","5","790","19.6","15,970","4","210","10.5","1,050","1","409","5.0","2,040","6","479","17.5","9,310"
"January 2022","21","1,811","19.2","35,400","4","590","20.8","12,610","2","44","25.5","1,080","1","70","1.0","40","6","479","19.7","9,680"
"February 2022","32","6,092","15.9","78,990","9","1,763","15.3","26,970","3","232","21.0","4,040","2","132","19.5","2,580","4","371","17.5","8,680"
"March 2022","34","33,127","17.5","96,627","7","1,385","17.4","19,850","4","256","24.0","6,000","2","132","22.5","3,040","4","371","15.5","9,050"
"April 2022","57","34,977","8.4","127,340","9","1,710","14.2","27,550","28","1,402","3.9","8,970","3","220","11.0","2,414","3","439","11.0","4,660"
"May 2022","65","60,076","12.2","840,655","10","1,928","17.1","36,200","26","829","11.8","5,510","2","158","12.0","1,716","4","1,127","10.5","9,040"
"June 2022","86","22,076","16.0","216,044","16","5,176","22.5","44,273","35","948","20.9","10,870","3","830","11.3","10,560","2","511","25.0","14,300"
"July 2022","52","7,761","21.8","96,530","8","1,638","16.1","24,900","25","312","30.1","8,780","2","760","13.5","3,970","4","1,330","14.0","16,930"
"August 2022","49","38,151","22.1","110,790","6","1,012","13.2","17,420","25","312","30.5","9,550","2","310","13.5","1,720","6","1,851","11.5","18,790"
"September 2022","44","3,326","22.5","39,670","3","188","20.0","3,760","25","412","28.9","9,070","4","560","16.8","8,880","4","643","10.5","4,000"
"October 2022","43","3,557","22.1","39,795","3","188","4.3","790","25","307","30.0","9,330","5","569","13.6","6,070","2","122","20.5","2,460"
"November 2022","45","62,573","20.3","170,046","3","403","2.0","850","25","307","29.6","9,130","5","2,417","14.2","10,600","2","122","10.5","2,160"
"December 2022","45","4,917","20.5","44,375","3","423","2.3","1,280","25","307","29.6","8,400","5","357","14.8","5,350","2","122","21.5","2,580"
"January 2023","45","2,436","20.8","26,120","..","..","..","..","24","263","30.0","7,730","5","291","10.6","2,830","3","197","21.0","4,120"
"February 2023","51","5,896","19.8","54,507","6","893","9.0","9,407","23","237","27.7","6,570","6","502","13.8","4,740","3","197","20.0","3,940"
"March 2023","58","9,186","20.5","105,050","6","893","14.0","9,250","23","237","30.6","7,290","11","650","11.0","8,300","3","197","18.7","3,220"
"April 2023","61","127,095","18.9","1,025,300","3","269","19.3","5,300","23","237","29.6","7,020","11","657","14.9","13,820","3","197","20.3","4,040"
"May 2023","77","129,425","18.9","341,433","13","1,905","11.7","20,260","26","418","28.0","9,050","17","2,309","20.1","27,580","4","1,138","20.0","17,510"
"June 2023","81","12,212","18.6","141,920","14","3,003","11.0","26,000","27","330","28.0","8,630","13","848","15.8","16,640","13","2,098","13.8","26,800"
"July 2023","69","20,173","21.3","229,830","9","2,401","13.6","37,310","27","3,985","28.5","19,290","8","8,707","13.5","106,430","13","2,098","20.2","43,380"
"August 2023","64","14,296","22.8","191,780","9","2,190","16.1","23,760","28","5,459","29.2","91,260","3","235","21.7","5,130","13","2,055","22.8","46,970"
"September 2023","57","7,583","21.7","113,260","3","540","16.0","7,380","26","285","28.6","8,020","2","189","11.0","1,910","13","2,055","18.8","38,000"
"October 2023","69","21,296","16.8","129,272","10","13,692","7.2","28,810","27","390","28.6","8,460","10","1,123","8.2","8,080","4","354","19.3","7,472"
"November 2023","644","364,777","4.7","1,473,528","3","1,276","18.0","16,070","27","365","11.5","4,380","10","1,677","12.9","21,310","6","391","14.5","7,630"
"December 2023","607","363,049","5.6","2,742,718","4","532","14.5","7,450","3","115","20.7","2,390","4","641","20.0","12,820","6","391","12.7","7,010"
"January 2024","609","363,839","0.8","52,760","3","343","21.0","7,490","3","115","22.0","2,540","4","641","18.8","11,650","4","320","10.5","6,360"
"February 2024","612","367,066","0.7","71,450","5","691","14.2","12,920","3","115","14.0","860","4","680","15.8","9,540","4","320","10.0","6,060"
"March 2024","85","19,178","29.4","143,400","8","1,680","254.6","9,856","2","35","22.0","770","4","680","17.3","8,890","3","831","15.7","8,284"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Work stoppage data cover strikes and lockouts that amount to 10 or more person-days not worked."
2,"Technical notes: https://www.canada.ca/en/employment-social-development/services/collective-bargaining-data/wages/technical-notes.html."
3,"This CANSIM table replaces archived table 278-0009."
4,"This breakdown represents a combination of geographic location and jurisdiction."
5,"This combines the North American Industry Classification System (NAICS) codes 41 and 44-45."
6,"This combines the North American Industry Classification System (NAICS) codes 48 and 49."
7,"This combines the North American Industry Classification System (NAICS) codes 71, 72 and 81."



"How to cite: Statistics Canada. Table 14-10-0350-01  Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410035001
